work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Analyst,130000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,150000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,110000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,105380,USD,US,0,United States,M
2023,MI,FT,Data Analyst,64500,USD,US,0,United States,M
2023,EN,FT,Data Quality Analyst,100000,USD,NG,100,Nigeria,L
2023,EN,FT,Compliance Data Analyst,30000,USD,NG,100,Nigeria,L
2023,SE,FT,Data Analyst,202800,USD,US,0,United States,L
2023,SE,FT,Data Analyst,104300,USD,US,0,United States,L
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,65000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,70000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,204500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,138900,USD,US,0,United States,M
2023,MI,FT,Business Data Analyst,105000,USD,US,50,United States,L
2023,MI,FT,Data Analyst,47120,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,43400,GBP,GB,0,United Kingdom,M
2023,SE,FT,Data Analyst,168400,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105200,USD,US,0,United States,M
2023,SE,FT,Data Analyst,55800,GBP,CF,100,Central African Republic,M
2023,SE,FT,Data Analyst,43400,GBP,CF,100,Central African Republic,M
2020,SE,FT,Staff Data Analyst,15000,USD,NG,0,Canada,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,140000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,70000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,200000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,148500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,149500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,127075,USD,US,100,United States,M
2023,SE,FT,Data Analyst,187000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,128000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,142000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,125000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,112000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,139000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,40700,CAD,CA,0,Canada,L
2023,SE,FT,Data Analyst,140000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,175000,USD,CA,100,Canada,M
2023,SE,FT,Data Analyst,135000,USD,CA,100,Canada,M
2023,SE,FT,Data Quality Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,80000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,90000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,75000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,155000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106000,USD,US,0,United States,M
2023,MI,FT,Lead Data Analyst,68000,USD,US,0,United States,L
2023,SE,FT,Data Analyst,105000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,90000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,70000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,64200,USD,US,100,United States,M
2023,EN,FT,Data Analyst,56100,USD,US,100,United States,M
2023,SE,FT,Data Analyst,208450,USD,US,100,United States,M
2023,SE,FT,Data Analyst,170550,USD,US,100,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,100500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,182500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,121500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,74400,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,55800,GBP,GB,0,United Kingdom,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,M
2023,EN,FT,Business Data Analyst,21400,EUR,ES,0,Spain,M
2023,SE,FT,Data Analyst,175000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,148700,USD,US,0,United States,M
2023,SE,FT,Data Analyst,125600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,185000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,120250,USD,US,100,United States,M
2023,SE,FT,Data Analyst,208049,USD,US,0,United States,M
2023,SE,FT,Data Analyst,128500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,190000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,MI,FT,Data Analyst,128000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,85000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,135000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,105500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,100000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,154000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,143000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,83500,USD,US,100,United States,M
2023,MI,FT,Data Analyst,52500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,165000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,140000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,180180,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106020,USD,US,0,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,100500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,206500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,121600,USD,US,100,United States,M
2023,EN,FT,Data Analyst,95000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,70000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,115934,USD,US,100,United States,M
2023,SE,FT,Data Analyst,81666,USD,US,100,United States,M
2023,MI,FT,Data Analyst,206000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,130000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,160000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,112000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,85000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,185000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,120250,USD,US,100,United States,M
2023,MI,FT,Financial Data Analyst,130000,USD,US,100,United States,L
2023,SE,FT,Data Analyst,70000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,55000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,75000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,65000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,180180,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106020,USD,US,0,United States,M
2023,MI,FT,Lead Data Analyst,18000,INR,IN,50,India,L
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,60000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,169000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,250000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,138000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,130000,USD,CA,100,Canada,M
2023,MI,FT,Data Analyst,100000,USD,CA,100,Canada,M
2023,SE,FT,Data Analyst,127000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,94000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,161500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,119500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,175000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,185900,USD,US,0,United States,M
2023,SE,FT,Data Analyst,121700,USD,US,0,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,EN,FT,Data Analyst,100000,USD,UZ,100,United States,L
2023,SE,FT,Data Analyst,125000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,150000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,100000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,99200,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,49600,GBP,GB,0,United Kingdom,M
2023,SE,FT,Data Analyst,95000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,85500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,185900,USD,US,0,United States,M
2023,SE,FT,Data Analyst,121700,USD,US,0,United States,M
2023,SE,FT,Data Analyst,120000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,80600,GBP,GB,100,United Kingdom,M
2023,MI,FT,Data Analyst,44702,GBP,GB,100,United Kingdom,M
2023,SE,FT,Data Analyst,180000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,90000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,85500,USD,US,0,United States,M
2023,EN,FT,Data Analyst,30000,USD,IN,50,India,M
2022,EN,PT,Data Analyst,34320,USD,US,100,United States,S
2022,MI,FT,Business Data Analyst,9600,BRL,BR,100,Brazil,M
2023,SE,FT,Data Analyst,175000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,130000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,122000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,93800,USD,US,100,United States,M
2023,SE,FT,Data Analyst,165000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,112000,USD,US,100,United States,M
2023,SE,FT,BI Data Analyst,71690,EUR,DE,100,Germany,M
2023,SE,FT,Data Analyst,15600,INR,IN,100,India,S
2023,SE,FT,Data Analyst,185900,USD,US,0,United States,M
2023,SE,FT,Data Analyst,121700,USD,US,0,United States,M
2023,SE,FT,Data Analyst,180180,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106020,USD,US,0,United States,M
2023,SE,FT,Data Analyst,125000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,152380,USD,US,0,United States,M
2023,SE,FT,Data Analyst,121904,USD,US,0,United States,M
2023,SE,FT,Data Analyst,170500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,85000,USD,US,100,United States,M
2023,SE,FT,Data Quality Analyst,72200,USD,US,0,United States,M
2023,SE,FT,Data Quality Analyst,64980,USD,US,0,United States,M
2023,SE,FT,Data Analyst,179975,USD,US,100,United States,M
2023,SE,FT,Data Analyst,86466,USD,US,100,United States,M
2023,SE,FT,Data Analyst,169000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,230000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,180000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,SE,FT,Data Analyst,165000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,125000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,85500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110000,USD,US,100,United States,S
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,S
2023,EN,FT,Data Analyst,55000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,48000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,85000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,80000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,60000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,142000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,95000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,111600,GBP,HR,0,Croatia,M
2023,MI,FT,Data Analyst,74400,GBP,HR,0,Croatia,M
2023,EN,PT,Data Analyst,18720,PLN,PL,100,India,L
2023,SE,FT,Data Analyst,120000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,169000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,110600,USD,US,0,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,60000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,227000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,108000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,55640,EUR,ES,100,Spain,M
2023,SE,FT,Data Analyst,51360,EUR,ES,100,Spain,M
2023,EN,FT,Data Analyst,60000,USD,US,100,United States,L
2023,EN,FT,Data Analyst,50000,USD,KW,50,United States,L
2023,SE,FT,Data Analyst,80000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,52500,USD,US,0,United States,M
2023,EN,FT,Data Analyst,85000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,75000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,MI,FT,Data Analyst,165000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,124000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,115934,USD,US,100,United States,M
2023,SE,FT,Data Analyst,81666,USD,US,100,United States,M
2023,MI,FT,Product Data Analyst,16200,INR,IN,100,India,L
2023,MI,FT,Data Analyst,125000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,105000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,111600,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,86800,GBP,GB,0,United Kingdom,M
2023,EN,FT,Data Analyst,55000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,48000,USD,US,0,United States,M
2023,EN,FT,Data Analyst,100000,USD,US,50,United States,M
2023,SE,FT,Data Analyst,385000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,60000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,110000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,95000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,180180,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106020,USD,US,0,United States,M
2023,SE,FT,Data Analyst,93919,USD,US,100,United States,M
2023,SE,FT,Data Analyst,51962,USD,US,100,United States,M
2023,SE,FT,Data Analyst,192500,USD,US,100,United States,M
2023,SE,FT,Data Analyst,140000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,62000,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,55800,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,130000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,153600,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106800,USD,US,0,United States,M
2023,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,180180,USD,US,0,United States,M
2023,SE,FT,Data Analyst,106020,USD,US,0,United States,M
2023,SE,FT,Data Analyst,122000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,94000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,175000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,103200,USD,US,0,United States,M
2023,MI,FT,Data Analyst,61200,USD,US,0,United States,M
2023,SE,FT,Data Analyst,130000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,87000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,160000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,108000,USD,US,100,United States,M
2023,EN,FT,Data Analyst,30000,USD,AR,100,United States,S
2023,MI,FT,Data Analyst,206000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,160000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,109000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,79000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,160000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,125600,USD,US,100,United States,M
2023,SE,FT,Data Analyst,141290,USD,US,0,United States,M
2023,SE,FT,Data Analyst,74178,USD,US,0,United States,M
2023,MI,FT,Data Analyst,80000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,52500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,90000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,80000,USD,US,0,United States,M
2022,EN,FT,Business Data Analyst,48000,USD,US,50,United States,L
2023,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2023,EN,FT,Business Data Analyst,12840,EUR,GR,50,Greece,L
2023,SE,FT,Data Analyst,51360,EUR,ES,0,Spain,M
2023,SE,FT,Data Analyst,40660,EUR,ES,0,Spain,M
2023,SE,FT,Data Analyst,51360,EUR,ES,0,Spain,M
2023,SE,FT,Data Analyst,40660,EUR,ES,0,Spain,M
2023,MI,FT,Data Analyst,120000,USD,US,100,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,145000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,102500,USD,US,100,United States,M
2023,MI,FT,Data Analyst,135000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,105500,USD,US,0,United States,M
2023,MI,FT,Data Analyst,80600,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,44702,GBP,GB,0,United Kingdom,M
2023,MI,FT,Data Analyst,116000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,72000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,120000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,80000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,240500,USD,US,0,United States,M
2023,SE,FT,Data Analyst,137500,USD,US,0,United States,M
2022,EN,PT,Data Analyst,25680,EUR,ES,100,United States,L
2023,SE,FT,Data Analyst,125000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,85000,USD,US,0,United States,M
2023,SE,FT,Data Analyst,130000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,80000,USD,US,100,United States,M
2022,MI,FT,Business Data Analyst,17280,INR,IN,50,India,L
2023,SE,FT,Data Analyst,155000,USD,US,100,United States,M
2023,SE,FT,Data Analyst,64000,USD,US,100,United States,M
2022,MI,FT,Data Analyst,13500,INR,IN,100,India,L
2023,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2023,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2022,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2022,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2022,MI,FT,Data Analyst,150000,USD,US,0,United States,M
2022,MI,FT,Data Analyst,100000,USD,US,0,United States,M
2022,SE,FT,Data Analyst,149000,USD,US,100,United States,M
